id,category,subject,iiif_url,source_url,institution,tier,iiif_note
prometheus-chained-vulcan,mythology,Prometheus chained by Vulcan,https://media.rkd.nl/iiif/2/9102135/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F981,rkd,,low_res_422x500
aeneas-anchises-troy,mythology,Aeneas rescues his father Anchises from the burning Troy,https://media.rkd.nl/iiif/2/10717087/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F8359,rkd,A,low_res_358x500
abduction-amphitrite,mythology,Abduction of Amphitrite by Poseidon,https://media.rkd.nl/iiif/2/10635741/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F7800,rkd,,
wedding-peleus-thetis,mythology,The wedding of Peleus and Thetis,https://media.rkd.nl/iiif/2/10770222/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F749,rkd,,
apollo-pan-midas,mythology,The Competition of Apollo and Pan and the judgment of Midas,https://media.rkd.nl/iiif/2/9116505/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F71945,rkd,,
marriage-cupid-psyche,mythology,Marriage of Cupid and Psyche,https://media.rkd.nl/iiif/2/9880831/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F70894,rkd,,
triumph-bacchus,mythology,De triomf van Bacchus,https://media.rkd.nl/iiif/2/10014713/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F70736,rkd,,
apollo-vulcan-forge,mythology,Apollo in Vulcan's forge revealing Venus' love-affair with Mars,https://media.rkd.nl/iiif/2/10079915/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F67185,rkd,,
triumph-mars,mythology,The triumph of Mars: an Allegory of War,https://media.rkd.nl/iiif/2/10079601/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F66158,rkd,,
nausicaa-ulysses,mythology,The meeting of Nausicaa and Ulysses,https://media.rkd.nl/iiif/2/10714458/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F63230,rkd,,
meeting-dido-aeneas,mythology,The meeting of Dido and Aeneas,https://media.rkd.nl/iiif/2/9115963/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F62758,rkd,,
sacrifice-iphigenia,mythology,The sacrifice of Iphigenia,https://media.rkd.nl/iiif/2/9109625/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F62589,rkd,,
athena-pegasus,mythology,The goddess Pallas Athena and the horse Pegasus,https://media.rkd.nl/iiif/2/9726501/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F40243,rkd,,
dido-sacrifice-juno,mythology,Dido's sacrifice to Juno,https://media.rkd.nl/iiif/2/10904504/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F313569,rkd,,
sacrifice-venus-temple,mythology,Sacrifice to Venus in a temple,https://media.rkd.nl/iiif/2/11083021/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F308982,rkd,,low_res_768x595
moses-law-sinai,old_testament,The Giving of the Law on Sinai / God gives Moses the tablets of the Law,https://iconographic.warburg.sas.ac.uk/iiif/3/731181/info.json,https://artresearch.net/resource/warburg/work/wpc_wid_fawa,warburg,,server_503_temporary
abraham-isaac,old_testament,The sacrifice of Isaac (angel neither stays sword nor points to ram),https://iconographic.warburg.sas.ac.uk/iiif/3/742839/info.json,https://artresearch.net/resource/warburg/work/wpc_wid_fxyz,warburg,,server_503_temporary
potiphar-wife,old_testament,Potiphar's wife catches Joseph by his robe; Joseph escapes leaving his cloak behind,https://hertz-foto-os1.biblhertz.it/iiif/3/bh001666/info.json,https://artresearch.net/resource/midas/work/08109559,hertziana,,
balaam-ass,old_testament,Balaam strikes his ass; the ass lies down and starts to speak,https://media.rkd.nl/iiif/2/10714737/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F302922,rkd,,low_res_500x331
isaac-blesses-jacob,old_testament,Isaac blesses Jacob disguised in Esau's clothes; Jacob's hands and neck covered with goatskins,https://media.rkd.nl/iiif/2/10685638/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F287664,rkd,,
samson-pillars,old_testament,Samson breaks the pillars; the temple of Dagon collapses,https://media.rkd.nl/iiif/2/9726503/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F40236,rkd,,low_res_500x438
drunkenness-noah,old_testament,The drunkenness of Noah,https://media.rkd.nl/iiif/2/10665251/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F272531,rkd,,low_res_500x396
feast-esther,old_testament,Feast of Esther,https://iiif.artresearch.net/iiif/3/frick/4107100289960_0001.jp2/info.json,https://artresearch.net/resource/frick/work/991013381249707141,frick,,
belshazzar-feast,old_testament,Belshazzar's Feast,MANUAL_REQUIRED,https://collections.mfa.org/objects/31275,mfa_boston,,waf_blocked_resolve_manually
bathsheba-letter,old_testament,Bathsheba receives a letter from David,https://media.rkd.nl/iiif/2/10661333/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F269073,rkd,,
gathering-manna,old_testament,The Gathering of Manna,https://iiif.artresearch.net/iiif/3/frick/4107100309903_0001.jp2/info.json,https://artresearch.net/resource/frick/work/991012200759707141,frick,,
hagar-ishmael,old_testament,Hagar Ishmael and the Angel in the Wilderness,https://iiif.artresearch.net/iiif/3/zeri/120000/106400/106241.jpg/info.json,https://artresearch.net/resource/zeri/work/51672,zeri,,
prodigal-son-brothel,old_testament,The Prodigal Son chased from the brothel after spending all his money (Luke 15:13),https://media.rkd.nl/iiif/2/9159469/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F195192,rkd,,
jephtha-daughter,old_testament,Jephtha welcomed by his daughter (Judges 11:29-40),https://media.rkd.nl/iiif/2/9229920/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F208955,rkd,,
judah-tamar,old_testament,Judah's love-affair with Tamar; he gives her his signet-ring and staff,https://media.rkd.nl/iiif/2/9682081/info.json,https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F55524,rkd,,
