id	category	subject	iiif_url	source_url	institution	tier	iiif_note
prometheus-chained-vulcan	mythology	Prometheus chained by Vulcan	https://media.rkd.nl/iiif/11098208/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F981	rkd		
aeneas-anchises-troy	mythology	Aeneas rescues his father Anchises from the burning Troy	https://media.rkd.nl/iiif/9223046/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F8359	rkd	A	
abduction-amphitrite	mythology	Abduction of Amphitrite by Poseidon	https://media.rkd.nl/iiif/11127255/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F7800	rkd		
wedding-peleus-thetis	mythology	The wedding of Peleus and Thetis	https://media.rkd.nl/iiif/9222402/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F749	rkd		
apollo-pan-midas	mythology	The Competition of Apollo and Pan and the judgment of Midas	https://media.rkd.nl/iiif/10036732/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F71945	rkd		
marriage-cupid-psyche	mythology	Marriage of Cupid and Psyche	https://media.rkd.nl/iiif/2/9880831/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F70894	rkd		
triumph-bacchus	mythology	De triomf van Bacchus	https://media.rkd.nl/iiif/2/10014713/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F70736	rkd		
apollo-vulcan-forge	mythology	Apollo in Vulcan's forge revealing Venus' love-affair with Mars	https://media.rkd.nl/iiif/2/10079915/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F67185	rkd		
triumph-mars	mythology	The triumph of Mars: an Allegory of War	https://media.rkd.nl/iiif/2/10079601/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F66158	rkd		
nausicaa-ulysses	mythology	The meeting of Nausicaa and Ulysses	https://media.rkd.nl/iiif/9178976/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F63230	rkd		
meeting-dido-aeneas	mythology	The meeting of Dido and Aeneas	https://media.rkd.nl/iiif/2/9115963/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F62758	rkd		
sacrifice-iphigenia	mythology	The sacrifice of Iphigenia	https://media.rkd.nl/iiif/2/9109625/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F62589	rkd		
athena-pegasus	mythology	The goddess Pallas Athena and the horse Pegasus	https://media.rkd.nl/iiif/9166525/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F40243	rkd		
dido-sacrifice-juno	mythology	Dido's sacrifice to Juno	https://media.rkd.nl/iiif/2/10904504/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F313569	rkd		
sacrifice-venus-temple	mythology	Sacrifice to Venus in a temple	https://media.rkd.nl/iiif/10889194/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F308982	rkd		
finding-moses	old_testament	The finding of Moses: Pharaoh's daughter comes to bathe with her maidens in the river and discovers the child floating on the water	https://hertz-foto-os1.biblhertz.it/iiif/3/bhex-si-2018-30-074/info.json		hertziana		replaced_warburg_moses-law-sinai_2026-06-11
abraham-isaac	old_testament	The sacrifice of Isaac (Abraham and Isaac)	https://iiif.artresearch.net/iiif/3/zeri/120000/111200/111041.jpg/info.json		zeri		replaced_warburg_source_2026-06-11
potiphar-wife	old_testament	Potiphar's wife catches Joseph by his robe; Joseph escapes leaving his cloak behind	https://hertz-foto-os1.biblhertz.it/iiif/3/bh001666/info.json	https://artresearch.net/resource/midas/work/08109559	hertziana		
balaam-ass	old_testament	Balaam strikes his ass; the ass lies down and starts to speak	https://media.rkd.nl/iiif/10418101/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F302922	rkd		
isaac-blesses-jacob	old_testament	Isaac blesses Jacob disguised in Esau's clothes; Jacob's hands and neck covered with goatskins	https://media.rkd.nl/iiif/2/10685638/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F287664	rkd		
samson-pillars	old_testament	Samson breaks the pillars; the temple of Dagon collapses	https://iiif.artresearch.net/iiif/3/zeri/160000/123200/123130.jpg/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F40236	rkd		
drunkenness-noah	old_testament	The drunkenness of Noah	https://media.rkd.nl/iiif/9171059/info.json	https://artresearch.net/resource/?uri=https%3A%2F%2Fdata.rkd.nl%2Fimages%2F272531	rkd		
feast-esther	old_testament	Feast of Esther	https://iiif.artresearch.net/iiif/3/frick/4107100289960_0001.jp2/info.json	https://artresearch.net/resource/frick/work/991013381249707141	frick		
belshazzar-feast	old_testament	Belshazzar's Feast (Daniel 5:5-7)	https://media.rkd.nl/iiif/9231863/info.json		rkd		replaced_mfa_source_2026-06-11
